,year,subject,code,title,description,gers,repeatable,grading_basis,units_min,units_max,objectives,final_exam,sections,tags,attributes,course_id,active,offer_num,academic_group,academic_org,academic_career,max_units_repeat,max_times_repeat
15,2017-2018,ATHLETIC,25,VARSITY - Gymnastics (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31151), ACT 01 (id: 31769), ACT 01 (id: 29633)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201035,True,1,MED,MEDDPT,UG,30,15
16,2017-2018,ATHLETIC,26,VARSITY - Gymnastics (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29587), ACT 01 (id: 31726), ACT 01 (id: 31109)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102414,True,1,MED,MEDDPT,UG,30,15
17,2017-2018,ATHLETIC,27,VARSITY - Lacrosse,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29589), ACT 01 (id: 31728), ACT 01 (id: 31111)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102441,True,1,MED,MEDDPT,UG,30,15
18,2017-2018,ATHLETIC,28,VARSITY - Rowing (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29575), ACT 01 (id: 31715), ACT 01 (id: 31100)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102336,True,1,MED,MEDDPT,UG,30,15
19,2017-2018,ATHLETIC,29,VARSITY - Rowing (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31140), ACT 01 (id: 31758), ACT 01 (id: 29620)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201022,True,1,MED,MEDDPT,UG,30,15
20,2017-2018,ATHLETIC,30,VARSITY - Lightweight Rowing,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31465), ACT 01 (id: 30605), ACT 01 (id: 32052)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",219727,True,1,MED,MEDDPT,UG,30,15
21,2017-2018,ATHLETIC,31,VARSITY - Sailing (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29595), ACT 01 (id: 31735), ACT 01 (id: 31115)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102499,True,1,MED,MEDDPT,UG,30,15
22,2017-2018,ATHLETIC,32,VARSITY - Sailing (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31141), ACT 01 (id: 31759), ACT 01 (id: 29621)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201023,True,1,MED,MEDDPT,UG,30,15
23,2017-2018,ATHLETIC,33,VARSITY - Soccer (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31142), ACT 01 (id: 31760), ACT 01 (id: 29622)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201024,True,1,MED,MEDDPT,UG,30,15
24,2017-2018,ATHLETIC,34,VARSITY - Soccer (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29596), ACT 01 (id: 31736), ACT 01 (id: 31116)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102550,True,1,MED,MEDDPT,UG,30,15
25,2017-2018,ATHLETIC,35,VARSITY - Softball,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29597), ACT 01 (id: 31737), ACT 01 (id: 31117)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102555,True,1,MED,MEDDPT,UG,30,15
26,2017-2018,ATHLETIC,36,VARSITY - Squash,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31772), ACT 01 (id: 31155), ACT 01 (id: 29638)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",205660,True,1,MED,MEDDPT,UG,30,15
27,2017-2018,ATHLETIC,37,VARSITY - Swimming (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29602), ACT 01 (id: 31742), ACT 01 (id: 31123)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102599,True,1,MED,MEDDPT,UG,30,15
28,2017-2018,ATHLETIC,38,VARSITY - Swimming (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31143), ACT 01 (id: 31761), ACT 01 (id: 29624)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201026,True,1,MED,MEDDPT,UG,30,15
29,2017-2018,ATHLETIC,39,VARSITY - Diving (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29577), ACT 01 (id: 31716), ACT 01 (id: 31101)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102352,True,1,MED,MEDDPT,UG,30,15
30,2017-2018,ATHLETIC,40,VARSITY - Diving (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31145), ACT 01 (id: 31763), ACT 01 (id: 29626)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201028,True,1,MED,MEDDPT,UG,30,15
31,2017-2018,ATHLETIC,41,VARSITY - Synchronized Swimming,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29601), ACT 01 (id: 31741), ACT 01 (id: 31122)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102592,True,1,MED,MEDDPT,UG,30,15
32,2017-2018,ATHLETIC,42,VARSITY - Tennis (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29607), ACT 01 (id: 31747), ACT 01 (id: 31128)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102694,True,1,MED,MEDDPT,UG,30,15
33,2017-2018,ATHLETIC,43,VARSITY - Tennis (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31144), ACT 01 (id: 31762), ACT 01 (id: 29625)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201027,True,1,MED,MEDDPT,UG,30,15
34,2017-2018,ATHLETIC,44,VARSITY - Volleyball (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29611), ACT 01 (id: 31749), ACT 01 (id: 31130)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102717,True,1,MED,MEDDPT,UG,30,15
35,2017-2018,ATHLETIC,45,VARSITY - Volleyball (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31147), ACT 01 (id: 31765), ACT 01 (id: 29629)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201031,True,1,MED,MEDDPT,UG,30,15
36,2017-2018,ATHLETIC,46,VARSITY - Beach Volleyball,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31466), ACT 01 (id: 30606), ACT 01 (id: 32053)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",219728,True,1,MED,MEDDPT,UG,30,15
37,2017-2018,ATHLETIC,47,VARSITY - Water Polo (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29612), ACT 01 (id: 31750), ACT 01 (id: 31131)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102730,True,1,MED,MEDDPT,UG,30,15
38,2017-2018,ATHLETIC,48,VARSITY - Water Polo (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31149), ACT 01 (id: 31767), ACT 01 (id: 29631)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201033,True,1,MED,MEDDPT,UG,30,15
39,2017-2018,ATHLETIC,49,VARSITY - Wrestling,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29615), ACT 01 (id: 31752), ACT 01 (id: 31133)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102792,True,1,MED,MEDDPT,UG,30,15
40,2017-2018,ATHLETIC,60,CLUB - Sport Experience,"This course is offered to club sport athletes who participate on credit approved Club Sports teams. Teams who are eligible to receive credit, are required to have a coach and/or administrator to supervise their class.  All teams and athletes on the team must complete 30 hours of participation during the quarter. To be eligible for credit, teams must practice 2x a week for a maximum total of 4 hours and participate in 1-3 competitions in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 31828), ACT 01 (id: 31220), ACT 01 (id: 30568)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",218812,True,1,MED,MEDDPT,UG,12,12
41,2017-2018,ATHLETIC,61,CLUB - Martial Arts Experience,"This course is offered to Martial Arts athletes who participate on credit approved Martial Arts teams. All teams and athletes on the team must complete 30 hours of participation during the quarter. To be eligible for credit, teams must practice 2x a week for a maximum total of 4 hours and participate in 1-3 competitions in the quarter. Prerequisite: Permission of martial arts administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 31470), ACT 01 (id: 30609), ACT 01 (id: 32056)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",219731,True,1,MED,MEDDPT,UG,12,12
42,2017-2018,ATHLETIC,62,CLUB - Band (MUSIC 62),"This course is offered to club members who participate on credit approved Club Sports teams. All members must complete 30 hours of participation during the quarter. To be eligible for credit, the club must practice 2x a week for a maximum total of 4 hours and participate in 1-3 events in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 32055), ACT 01 (id: 31469), ACT 01 (id: 30608)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102304,True,1,MED,MEDDPT,UG,12,12
43,2017-2018,ATHLETIC,63,CLUB - Climbing,"his course is offered to club sport athletes who participate on credit approved Club Sports teams. All teams and athletes on the team must complete 30 hours of participation during the quarter. To be eligible for credit, teams must practice 2x a week for a maximum total of 4 hours and participate in 1-3 competitions in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 31804), ACT 01 (id: 31194), ACT 01 (id: 29675)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",216514,True,1,MED,MEDDPT,UG,12,12
44,2017-2018,ATHLETIC,64,CLUB - Equestrian,"This course is offered to club sport athletes who participate on credit approved Club Sports teams. All teams and athletes on the team must complete 30 hours of participation during the quarter. To be eligible for credit, teams must practice 2x a week for a maximum total of 4 hours and participate in 1-3 competitions in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 29578), ACT 01 (id: 31717), ACT 01 (id: 31102)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102355,True,1,MED,MEDDPT,UG,12,12
45,2017-2018,ATHLETIC,65,CLUB - Rugby (Men),"This course is offered to club sport athletes who participate on credit approved Club Sports teams. All teams and athletes on the team must complete 30 hours of participation during the quarter. To be eligible for credit, teams must practice 2x a week for a maximum total of 4 hours and participate in 1-3 competitions in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 31114), ACT 01 (id: 31732), ACT 01 (id: 29592)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102484,True,1,MED,MEDDPT,UG,12,12
46,2017-2018,ATHLETIC,66,CLUB - Rugby (Women),"This course is offered to club sport athletes who participate on credit approved Club Sports teams. All teams and athletes on the team must complete 30 hours of participation during the quarter. To be eligible for credit, teams must practice 2x a week for a maximum total of 4 hours and participate in 1-3 competitions in the quarter. Prerequisite: Permission of club sport administrator. May repeat for credit. A maximum of 8 activity units may be applied towards graduation.",,True,Satisfactory/No Credit,1,1,,False,"ACT 01 (id: 29618), ACT 01 (id: 31756), ACT 01 (id: 31138)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201020,True,1,MED,MEDDPT,UG,12,12
