ka,url,first_name,last_name,full_name,bio,height,birthday,age,hometown_city,hometown_state,ignore,education,medals_gold,medals_silver,medals_bronze,sport,thumbnail_url,thumbnail_alt_text,thumbnail_photo_credit
blt62674179996c423f,/profiles/matt-anderson,Matt,Anderson,Matt Anderson,"<h5>Personal</h5><ul><li>Mother is Nancy Anderson. Father, Michael Anderson, died in January 2010</li><li>Has three older sisters, Jennifer, Joelle and Amy and one older brother Joshua</li><li>Married Jacquelyn (Jackie) Gillum in 2020</li><li>Their son Michael James (Jamie) was born in 2020</li><li>Has a tattoo on his wrist in honor of his nephew Tristin, who is autistic</li><li>Hosts an annual volleyball tournament to benefit autism awareness</li><li>Interested in professional sports, cars and fashion</li><li>Left college following his junior year to play professionally with the Hyundai Capital Skywalkers in Korea</li><li>Has played professionally in Russia, Italy and Korea</li><li>At 25, was the youngest player on the 2012 U.S. Men’s Olympic Volleyball Team.</li></ul><h5>Olympic Experience</h5><ul><li>4-time Olympian; 1-time Olympic medalist (1 bronze)</li><ul><li>Olympic Games Paris 2024, (Team - Men)</li><li>Olympic Games Tokyo 2020, 10th (Team - Men)</li><li>Olympic Games Rio de Janeiro 2016, bronze (Team - Men)</li><li>Olympic Games London 2012, 5th (Team - Men)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 6th (Team - Men)</li><li>Years of participation: Team - Men 2010, 2014, 2018, 2022</li><li>Medals: 1 (1 bronze)</li><ul><li>Bronze – 2018 (Team - Men)</li></ul></ul>","6'10""",4/18/1987,37,West Seneca,NY,Pennsylvania State University,Pennsylvania State University,0,0,1,Volleyball,https://res.cloudinary.com/usopc-prod/image/upload/v1686924126/TeamUSA%20Assets/Migration/Athlete%20Profiles/Matt%20Anderson/2020MattAnderson1.jpg,Matt Anderson,
blt3ead8e3f4132f5b8,/profiles/hunter-armstrong,Hunter,Armstrong,Hunter Armstrong,"<h5>Personal</h5><ul><li>Son of Ryan and Edie Armstrong. Has one brother, Jake</li><li>Known for bringing playing cards and doing magic tricks during swim meets</li></ul><h5>Olympic Experience</h5><ul><li>2-time Olympian; 2-time Olympic medalist (2 gold)</li><ul><li>Olympic Games Paris 2024, gold (4 x 100m Freestyle Relay - Men), 11th (100m Backstroke - Men)</li><li>Olympic Games Tokyo 2020, gold (4 x 100m Medley Relay - Men), 9th (100m Backstroke - Men)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – gold (4 x 100m Medley Relay - Men, 50m Backstroke - Men), bronze (100m Backstroke - Men)</li><li>Years of participation: 100m Backstroke - Men 2022, 2023; 4 x 100m Medley Relay - Men 2022, 2023; 50m Backstroke - Men 2022, 2023; 100m Backstroke (SC) - Men 2022; 100m Freestyle (SC) - Men 2022; 4 x 100m Freestyle Relay - Men 2022; 4 x 100m Medley Relay - Mixed 2022; 4 x 100m Medley Relay (SC) - Men 2022; 4 x 50m Freestyle Relay (SC) - Men 2022; 4 x 50m Freestyle Relay (SC) - Mixed 2022; 4 x 50m Medley Relay (SC) - Men 2022; 50m Backstroke (SC) - Men 2022</li><li>Medals: 10 (5 gold, 3 silver, 2 bronze)</li><ul><li>Gold – 2023 (4 x 100m Medley Relay - Men, 50m Backstroke - Men); 2022 (4 x 100m Freestyle Relay - Men, 4 x 100m Medley Relay - Mixed, 4 x 100m Medley Relay (SC) - Men)</li><li>Silver – 2022 (4 x 100m Medley Relay - Men, 50m Backstroke - Men, 4 x 50m Medley Relay (SC) - Men)</li><li>Bronze – 2023 (100m Backstroke - Men); 2022 (100m Backstroke - Men)</li></ul></ul>","6'6""",1/24/2001,23,Dover,OH,Dover High School Ohio State University,Ohio State University,2,0,0,Swimming,https://res.cloudinary.com/usopc-prod/image/upload/v1686920107/TeamUSA%20Assets/Migration/Athlete%20Profiles/Hunter%20Armstrong/armstrong_hunter_150x250.jpg,Head Shot,
blt29a4d324b228514f,/profiles/emily-ausmus,Emily,Ausmus,Emily Ausmus,"<h5>Personal</h5><ul><li><span>Parents are Shan and Shawn</span></li><li><p>Committed to USC</p></li><li><p>Has an older brother, Evan, who plays water polo at USC</p></li><li><p>First started playing water polo at eight years old in Riverside, CA.</p></li></ul><h5>Career Highlights </h5><ul><li><p>2024 WORLD AQUATICS WORLD CHAMPIONSHIPS, DOHA, QATAR, 1ST PLACE</p></li><li><p>2023&nbsp;PAN AMERICAN GAMES, SANTIAGO, CHILE, 1ST&nbsp;PLACE</p></li><li><p>2023 WORLD AQUATICS WORLD CHAMPIONSHIPS, FUKUOKA, JAPAN, 5TH PLACE</p></li><li><p>2023 WORLD AQUATICS WORLD CUP, LONG BEACH, UNITED STATES, 1ST PLACE</p></li><li><p>2022 FINA WORLD LEAGUE SUPER FINAL, SANTA CRUZ DE TENERIFE, SPAIN, 3RD&nbsp;PLACE</p></li><li><p>2022 FINA YOUTH WORLD CHAMPIONSHIP, BELGRADE, SERBIA, 1ST PLACE</p></li><li><p>2022 FINA INTERCONTINENTAL CUP, LIMA, PERU, 3RD PLACE</p></li></ul><br><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, (Team - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2024 – gold (Team - Women)</li><li>Years of participation: Team - Women 2023, 2024</li><li>Medals: 1 (1 gold)</li><ul><li>Gold – 2024 (Team - Women)</li></ul></ul>",,,,Riverside,CA,University of Southern California,University of Southern California,0,0,0,Water Polo,https://res.cloudinary.com/usopc-prod/image/upload/v1720395490/Ausmus_Emily_HS.jpg,"Emily Ausmus poses for a portrait after USA Water Polo announced the 2024 U.S. Olympic Women's Water Polo Team roster at Republique on May 30, 2024 in Los Angeles, California.",Getty Images
blt8b5015c8bd23f59f,/profiles/taylor-averill,Taylor,Averill,Taylor Averill,"<h5>Personal</h5><ul><li>Born in Portland, Oregon</li><li>Parents are Mark and Lisa Averill. Has one brother.</li><li>Has played professionally in Italy, France and Poland</li><li><span>Won the French League Championship with AS Cannes in 2021; Named Best Middle Blocker</span></li><li>Enjoys photography and hosts his own podcast entitled ""Tallest Podcast on Earth""</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 6th (Team - Men)</li><li>Years of participation: Team - Men 2018, 2022</li><li>Medals: 1 (1 bronze)</li><ul><li>Bronze – 2018 (Team - Men)</li></ul></ul><h5>Career Highlights</h5><ul><li><span>2023 NORCECA Continental Championship, gold</span></li><li>2023 Volleyball Nations League, silver<span></span></li><li>Pan American Games Toronto 2015, 6th (Team - Men)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, (Team - Men)</li></ul></ul>","6'7""",3/5/1992,32,Portland,OR,University of Hawaii,University of Hawaii,0,0,0,Volleyball,https://res.cloudinary.com/usopc-prod/image/upload/v1686321878/TeamUSA%20Assets/Migration/Athlete%20Profiles/Taylor%20Averill/2020TaylorAverill.jpg,Head Shot,
blt68ce6fe6d7dfa930,/profiles/sarah-bacon,Sarah,Bacon,Sarah Bacon,"<h5>Personal</h5><ul><li>Daughter of Steve and Barb Bacon. Has three brothers: Kevin, Brian and Brad</li><li>Began diving in 2004</li><li>Her favorite dives are 5152B and 107B</li><li>Has had to overcome numerous injuries (she has dealt with shoulder injuries, stress fractures in her back, and concussions)</li><li>In between dives, Sarah likes to sit away from everyone else and listen to upbeat music (Drake, Kanye West, Beyonce, Lil Wayne, Tyga)</li><li>When she is not diving, she enjoys cooking, baking, watching and attending sporting events, working out, going to concerts and being outside</li><li>Pursuing a masters in sports management at Minnesota</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2024 – 5th (3m Springboard - Women, Team Event - Mixed)</li><li>Years of participation: 3m Springboard - Women 2019, 2022, 2023, 2024; Team Event - Mixed 2024; 3m Springboard Synchro - Women 2023; 1m Springboard - Women 2019, 2022</li><li>Medals: 2 (2 silver)</li><ul><li>Silver – 2022 (1m Springboard - Women); 2019 (1m Springboard - Women)</li></ul></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 silver)</li><ul><li>Olympic Games Paris 2024, silver (3m Springboard Synchro - Women)</li></ul></ul>","5'5""",9/20/1996,27,Indianapolis,IN,University of Minnesota,University of Minnesota,0,0,0,Diving,https://res.cloudinary.com/usopc-prod/image/upload/v1680010241/TeamUSA%20Assets/Athlete%20Profiles/Sarah%20Bacon%20874223/Sarah-Bacon-150x250.jpg,Head Shot,
blt1b730567ae9a7704,/profiles/phoebe-bacon,Phoebe,Bacon,Phoebe Bacon,"<h5>Personal</h5><ul><li>Daughter of Tim and Phoebe Bacon</li><li>Has three siblings: Reid, Sophie and Finn</li><li>Aspires to work in physical therapy</li><li>Hobbies include drawing, sculpting,<span> ice hockey, soccer and climbing</span></li></ul><h5>Olympic Experience</h5><ul><li>2-time Olympian;</li><ul><li>Olympic Games Paris 2024, 4th (200m Backstroke - Women)</li><li>Olympic Games Tokyo 2020, 5th (200m Backstroke - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – silver (200m Backstroke - Women)</li><li>Years of participation: 200m Backstroke - Women 2022</li><li>Medals: 1 (1 silver)</li><ul><li>Silver – 2022 (200m Backstroke - Women)</li></ul></ul>","5'10""",8/12/2002,21,Chevy Chase,MD,University of Wisconsin,University of Wisconsin,0,0,0,Swimming,https://res.cloudinary.com/usopc-prod/image/upload/v1680012456/TeamUSA%20Assets/Athlete%20Profiles/Phoebe%20Bacon%201113386/bacon_pheobe_150x250.jpg,Phoebe Bacon,
blt2d0aa441847add09,/profiles/chris-bailey-1188355,Chris,Bailey,Chris Bailey,<h5>Personal </h5><ul><li>Attended Carver High school </li></ul><h5>Career Highlights </h5><ul><li>Set an Arkansas College record over 400m of 45:09</li><li>Silver - 2024 World Indoor Championships 4x400m</li><li>Bronze - 2024 US Indoor Championships 400m</li><li>Gold - 2023 NCAA Indoors 4x400m </li></ul>,,,,Atlanta,GA,University of Arkansas,University of Arkansas,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1720578934/Bailey_Chris_Worlds.jpg,"Christopher Bailey of Team United States competes in Heat 1 of the Men's 4x400 Metres Relay on Day Three of the World Athletics Indoor Championships Glasgow 2024 at Emirates Arena on March 03, 2024 in Glasgow, Scotland.",Getty Images
bltea869fc9f03c7582,/profiles/perry-baker-857730,Perry,Baker,Perry Baker,"<h5>Personal</h5><ul><li>Son of Lolita McGraw and Dallas Baker</li><li>Was drafted to the NFL by the Philadelphia&nbsp;Eagles but cut due to a knee injury</li><li>Brother, Dallas Baker, and Uncle, Wes Chandler, both played in the NFL</li><li>Husband and father of three boys</li><li>Enjoys coaching and loves running youth rugby camps to help teach the next generation</li><li>Hobbies include music, fashion, gaming, fishing, hunting, hiking, bike riding, etc.</li></ul><h5>Olympic Experience</h5><ul><li>3-time Olympian;</li><ul><li>Olympic Games Paris 2024, 8th (Team - Men)</li><li>Olympic Games Tokyo 2020, 6th (Team - Men)</li><li>Olympic Games Rio de Janeiro 2016, 9th (Team - Men)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 11th (Team - Men)</li><li>Years of participation: Team - Men 2018, 2022</li><li>Top finish: 6th – 2018 (Team - Men)</li></ul>","6'1""",6/29/1986,38,Daytona Beach,FL,Fairmont State University,Fairmont State University,0,0,0,Rugby,https://res.cloudinary.com/usopc-prod/image/upload/v1720470258/TeamUSA%20Assets/Athlete%20Profiles/Perry%20Baker%20857730/baker_p_hero_857730.png,Perry Baker poses for a portrait.,USA Rugby
blt3dac111422c5384f,/profiles/heath-baldwin,Heath,Baldwin,Heath Baldwin,"<h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 12th (Decathlon - Men)</li></ul></ul>",,2/8/2001,23,Kalamazoo,MI,Michigan State University '24,Michigan State University,0,0,0,Track and Field,,,
bltdcb784a07ef4698a,/profiles/ian-barrows,Ian,Barrows,Ian Barrows,"<h5>Personal</h5><ul><li><span>Ian Barrows grew up in St. Thomas, U.S. Virgin Islands, where he began his sailing career</span></li><li>He grew a love for sailing and competed in high school and internationally on the youth sailing stage</li><li>Ian's older brother, Thomas, competed at Beijing 2008 and London 2012</li><li>Barrows and Mitchell Kiss narrowly missed Tokyo 2020, finishing second at trials</li></ul><h5>Career Highlights</h5><ul><li>Pan American Games, Santiago, 2023 (49er - Men)</li><li>ISAF Youth World Championships, Dún Laoghaire, 2012 (420 - Men)</li><li>World Cup, 2012 (49er - Open)</li><li>Class World Championships Youth, Cannes, 2010 (Byte CII - Men)</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2024 – 16th (49er - Men)</li><li>Years of participation: 49er - Men 2018, 2019, 2020, 2021, 2022, 2023, 2024; 420 - Open 2010, 2012</li><li>Top finish: 4th – 2021 (49er - Men)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 bronze)</li><ul><li>Olympic Games Paris 2024, bronze (49er - Men)</li></ul></ul>",,1/14/1995,29,St. Thomas,VI,"Yale University, '17",Yale University,0,0,0,Sailing,https://res.cloudinary.com/usopc-prod/image/upload/v1716306793/TeamUSA%20Assets/Athlete%20Profiles/Ian%20Barrows%201144716/barrows_i_hero_1144716_01.png,Ian Barrows poses for a photo.,US Sailing
blt02c6e2c0a35436dd,/profiles/canyon-barry,Canyon,Barry,Canyon Barry,"<h5>Personal</h5><ul><li>Son of Lynn Norenberg Barry and Rick Barry, both former USA Basketball athletes </li><li>Played college basketball for three years at College of Charleston, South Carolina and one year at the University of Florida</li><li>Set a University of Florida record for consecutive free throws (42)</li></ul><h5>Career Highlights </h5><ul><li>2023 Pan American Games Men's 3x3 Team - 1st</li><li>2023 FIBA 3x3 World Cup Men's Team - 2nd</li><li>2019 FIBA 3x3 World Cup Men's Team - 1st </li><li>2017 Academic All-American of the Year</li><li>2017 SEC Sixth Man of the Year</li></ul>",,1/7/1994,30,Fort Wayne,IN,College of Charleston,College of Charleston,0,0,0,3x3 Basketball,https://res.cloudinary.com/usopc-prod/image/upload/v1711475180/20231023_Canyon_Barry_BASKETBALL_3v3_KUSUMOTO-004.jpg,"Canyon Berry at the 2023 Pan American Games in Santiago, Chile.",Team USA
blt7dd538e144a4fca1,/profiles/trevor-bassitt,Trevor,Bassitt,Trevor Bassitt,"<h5>Personal</h5><ul><li>Competed at Ashland University</li><li>Formerly coached by Jud Logan</li><li>Currently trains in Florida under coach Mike Holloway</li></ul><h5>Career Highlights </h5><ul><li>Gold - 2023 World Championships, 4x400m relay</li><li>Bronze - 2022 World Championships, 400m hurdles</li><li>Gold - 2022 World Championships, 4x400m realy</li></ul>",,2/26/1998,26,Bluffton,OH,Ashland University,Ashland University,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1720622412/Bassitt_Trevor.jpg,"Trevor Bassitt of Team United States reacts after competing in the Men's 4x400m Relay heats on day nine of the World Athletics Championships Oregon22 at Hayward Field on July 23, 2022 in Eugene, Oregon.",Getty Images
